Cabang,Kategori,Budget,NilaiStok,Qty,Item,Selisih,Serapan %,Status
BINTARA,Aksesoris,109095000.0,54165004.447976,2057.0,2496,-54929995.552024,49.6,Kurang
BINTARA,Handphone,37739000.0,15256000.000002,6.0,278,-22482999.999998,40.4,Kurang
BINTARA,Laptop,58917000.0,101475500.0,25.0,344,42558500.0,172.2,Over
BINTARA,Sparepart,410780000.0,454734380.334774,5166.0,8644,43954380.33477402,110.7,Over
BINTARA,Lainnya,0.0,31113670.060538,195.0,161,31113670.060538,,Tanpa budget
CEGER,Aksesoris,90059500.0,15404369.319894,430.0,1402,-74655130.680106,17.1,Kurang
CEGER,Handphone,20000000.0,26355266.430673998,32.0,191,6355266.430673998,131.8,Over
CEGER,Laptop,27551500.0,36359999.999999,9.0,274,8808499.999999002,132.0,Over
CEGER,Sparepart,214898000.0,469295226.681679,2998.0,5296,254397226.681679,218.4,Over
CEGER,Lainnya,0.0,5620000.0,13.0,135,5620000.0,,Tanpa budget
CIBINONG,Aksesoris,65000000.0,61964925.869644,1383.0,701,-3035074.130355999,95.3,Sesuai
CIBINONG,Handphone,40040000.0,45303106.063834,179.0,281,5263106.063833997,113.1,Over
CIBINONG,Laptop,75000000.0,55962430.0,14.0,100,-19037570.0,74.6,Kurang
CIBINONG,Sparepart,155000000.0,352038812.297604,4316.0,3015,197038812.29760402,227.1,Over
CIBINONG,Lainnya,0.0,7830444.444448,42.0,25,7830444.444448,,Tanpa budget
CIKAMPEK,Aksesoris,81000000.0,54617847.955286,1080.0,742,-26382152.044713996,67.4,Kurang
CIKAMPEK,Handphone,30000000.0,39954400.0,16.0,121,9954400.0,133.2,Over
CIKAMPEK,Laptop,45000000.0,33000000.0,9.0,49,-12000000.0,73.3,Kurang
CIKAMPEK,Sparepart,155000000.0,83447070.388888,387.0,3425,-71552929.611112,53.8,Kurang
CIKAMPEK,Lainnya,0.0,8370000.0,19.0,43,8370000.0,,Tanpa budget
CILANGKAP,Aksesoris,70000000.0,44072566.464268,702.0,437,-25927433.535732,63.0,Kurang
CILANGKAP,Handphone,30000000.0,49783266.666667,28.0,91,19783266.666667,165.9,Over
CILANGKAP,Laptop,45000000.0,44550000.0,11.0,49,-450000.0,99.0,Sesuai
