Kode,Cabang,File,Baris,Nilai Total,Catatan
009,SAWANGAN,daftar_barang_dan_jasa_009mflashsawang_260818214144.xlsx,5648,460665529.172857,
007,CONDET,daftar_barang_dan_jasa_007mflashcondet_260818214057.xlsx,12961,538464594.934617,
002,CEGER,daftar_barang_dan_jasa_002mflashcegert_260818213803.xlsx,7447,553034862.432246,
008,JATIBENING,daftar_barang_dan_jasa_008mflashjatibe_260818214121.xlsx,6588,566671233.478924,
005,JATIMULYA,daftar_barang_dan_jasa_005mflashjatimu_260818214014.xlsx,7603,495894423.579514,
015,CIKAMPEK,daftar_barang_dan_jasa_015mflashcikamp_260818214355.xlsx,4441,219389318.34417403,
010,WARBONG,daftar_barang_dan_jasa_010mflashwarbon_260818214205.xlsx,5375,384002786.73791,
010,WARBONG,daftar_barang_dan_jasa_010mflashwarbon_260818214205.xlsx,0,0.0,"duplikat, dilewati"
016,CILANGKAP,daftar_barang_dan_jasa_016mflashcilang_260818214436.xlsx,3787,269334009.668571,
011,CINERE,daftar_barang_dan_jasa_011mflashcinere_260818214237.xlsx,3856,576261648.027946,
006,DRAMAGA,daftar_barang_dan_jasa_006mflashdramag_260818214036.xlsx,5885,420369496.31145203,
014,JATIWARINGIN,daftar_barang_dan_jasa_014mflashjatiwa_260818214333.xlsx,4063,372840275.860257,
004,RADJIMAN,daftar_barang_dan_jasa_004mflashradjim_260818213951.xlsx,4303,278532357.90218997,
012,CIBINONG,daftar_barang_dan_jasa_012mflashcibino_260818214259.xlsx,4276,523099718.67552996,
003,BINTARA,daftar_barang_dan_jasa_003mflashbintar_260818214707.xlsx,12153,656744554.84329,
013,KARAWANG,daftar_barang_dan_jasa_013mflashtelukj_260818214318.xlsx,3988,516724812.13634294,
001,KLENDER,daftar_barang_dan_jasa_001mflashklende_260818213720.xlsx,9704,620937909.633583,
